"","announcement","name","maturity_sector","mean","sd","iqr","max","min"
"18","QE1a","bid_ask_v3_COB_change","medium",-7.16194802749647e-06,1.90754347955781e-06,2.11540063179349e-06,-4.39113803806619e-06,-9.5662002970485e-06
"19","QE1a","bid_ask_v3_COB_change","untargeted_long",-8.26119375611363e-06,1.03987668130545e-05,6.87617795502632e-06,-2.57382540459956e-07,-3.03050022299977e-05
"20","QE1a","bid_ask_v3_COB_change","untargeted_short",-1.87674817561548e-06,1.72875662198193e-07,1.22241553042457e-07,-1.75450662257302e-06,-1.99898972865793e-06
"21","QE1a","bid_ask_v3_t+1_change","long",-5.6970153687222e-05,2.47212732327419e-05,4.78909726787572e-05,-2.34044540837646e-05,-8.80431466736415e-05
"22","QE1a","bid_ask_v3_t+1_change","medium",-1.45988223742888e-05,3.79672929272743e-06,4.09211360338144e-06,-8.67725592876214e-06,-1.92277676483488e-05
"23","QE1a","bid_ask_v3_t+1_change","untargeted_long",-4.73869491965741e-05,9.43915421412872e-06,5.22509997517796e-06,-4.1079878603643e-05,-6.74281015942906e-05
"24","QE1a","bid_ask_v3_t+1_change","untargeted_short",-1.80909343052763e-06,5.01506309766183e-08,3.54618512443509e-08,-1.77363157928328e-06,-1.84455528177198e-06
"25","QE1b","bid_ask_v1_COB_change","long",-1.66533453693773e-16,0.000534522483824671,8.88178419700125e-16,0.00099999999999989,-0.000999999999999446
"26","QE1b","bid_ask_v1_COB_change","medium",0.000142857142857127,0.000690065559342278,0.000500000000000389,0.00099999999999989,-0.00099999999999989
"27","QE1b","bid_ask_v1_COB_change","untargeted_long",0.000142857142857064,0.000377964473009409,0,0.00100000000000033,-8.88178419700125e-16
"28","QE1b","bid_ask_v1_COB_change","untargeted_short",-0.000333333333333149,0.00057735026918969,0.000500000000000167,4.44089209850063e-16,-0.00099999999999989
"29","QE1b","bid_ask_v1_t+1_change","long",-0.000124999999999986,0.000353553390593055,1.11022302462516e-16,0,-0.000999999999999446
"30","QE1b","bid_ask_v1_t+1_change","medium",0.000428571428571635,0.000534522483824829,0.00099999999999989,0.00100000000000033,0
"31","QE1b","bid_ask_v1_t+1_change","untargeted_long",0.000142857142857191,0.000690065559342585,0.000500000000001055,0.00100000000000033,-0.00100000000000033
"32","QE1b","bid_ask_v1_t+1_change","untargeted_short",0.000333333333333593,0.00057735026918969,0.000500000000000167,0.00100000000000033,0
"33","QE1b","bid_ask_v2_COB_change","long",-4.31057941867682e-06,0.000125450491248011,2.84065865726496e-05,0.000239684625492743,-0.000226295541977698
"34","QE1b","bid_ask_v2_COB_change","medium",-6.91921151621496e-06,0.000234762805068071,0.000143496691345343,0.000267801377568821,-0.000442619366631252
"35","QE1b","bid_ask_v2_COB_change","untargeted_long",2.69140063777631e-05,8.45691262575819e-05,9.54215014186202e-07,0.000218691767164164,-6.16472135459467e-06
"36","QE1b","bid_ask_v2_COB_change","untargeted_short",-0.000238910646832033,0.000241472346556597,0.000220062043039206,-7.62407965399226e-05,-0.000516364882618335
