operation_date,ISIN,proceeds_offers,proceeds_purchases,nominal_purchases,tail,res_mat,maturity,cuml_nom_purch,issue_date,cumulative_total_in_issue,percent_of_freefloat,bid_cover,YLD_YTM_MID,YLD_BID_ASK,date_dif,1DCHNG_YIELD_BID_ASK,1DCHNG_date_dif,1DCHNG_EOD_YIELD_BID_ASK,1DCHNG_EOD_date_dif,prog
2010-01-06,GB00B4YRFP41,251.1,0,0,0,9.66735112936345,2019-09-07,2198.6,2009-12-09,20212.514,0.10877419800426608,Inf,4.15,0.005999999999999339,0,-0.001000000000000334,2,-0.001000000000000334,1,QE1
2010-01-06,GB00B29WRG55,525.7,233,215,0,3.164955509924709,2013-03-07,6030.7,2009-10-07,29286.708,0.2059193542681547,2.2562231759656655,2.258,0.016000000000000014,0,0,2,0,1,QE1
2010-01-06,GB0008921883,0,0,0,0,3.7234770704996576,2013-09-27,1548,2009-01-21,8378,0.18476963475769873,NA,2.345,0.0129999999999999,0,9.999999999998899e-4,2,9.999999999998899e-4,1,QE1
2010-01-06,GB00B3KJDW09,1623.2,607,613,0.02,4.164271047227926,2014-03-07,7182,2009-09-18,29123.227,0.24660728702900953,2.674135090609555,2.71,0.0129999999999999,0,4.440892098500626e-16,2,0,1,QE1
2010-01-12,GB0032452392,51.7,6.9,7,0,26.1492128678987,2036-03-07,1935.1,2009-01-21,20227,0.09566915508973155,7.492753623188406,4.43,0.004999999999999893,0,0,2,0,1,QE1
2010-01-12,GB00B00NY175,953.6,515.9,485.3,0.16,28.90075290896646,2038-12-07,5914.3,2009-05-20,22759,0.25986642646864977,1.848420236479938,4.401,0.004999999999999893,0,0,2,0,1,QE1
2010-01-12,GB00B3KJDS62,935.2,283,286,0.1,29.650924024640656,2039-09-07,2545.4,2009-12-03,11773.422,0.2161988247766877,3.304593639575972,4.413,0.005000000000000782,0,-9.999999999994458e-4,2,8.881784197001252e-16,1,QE1
2010-01-12,GB00B1VWPJ53,237.5,150,146,0.07,32.90075290896646,2042-12-07,1315,2009-01-21,19120,0.06877615062761507,1.5833333333333333,4.381,0.005000000000000782,0,-8.881784197001252e-16,2,0,1,QE1
2010-01-12,GB00B128DP45,610.7,373.2,377,0.13,36.90075290896646,2046-12-07,2167,2009-01-21,17751,0.12207762942932793,1.6363879957127547,4.337,0.004000000000000448,0,9.999999999994458e-4,2,0,1,QE1
2010-01-12,GB00B06YGN05,722.4,118,118,0.11,45.90006844626968,2055-12-07,4718.6,2009-02-18,20147,0.23420856703231252,6.122033898305085,4.281,0.004000000000000448,0,0,2,0,1,QE1
2010-01-12,GB00B54QLM75,330.5,252.8,265,0.14,50.026009582477755,2060-01-22,1399.1,2009-10-22,7000,0.19987142857142856,1.3073575949367089,4.276,0.0039999999999995595,0,-8.881784197001252e-16,2,-8.881784197001252e-16,1,QE1
2010-01-18,GB00B058DQ55,1085.2,375.4,348,0.04,10.132785763175907,2020-03-07,10884.3,2009-10-15,20118,0.5410229645093946,2.890783164624401,4.028,0.009000000000000341,0,0,4,0,3,QE1
2010-01-18,GB00B16NNR78,418,268.4,270,0.1,17.883641341546884,2027-12-07,9624.8,2009-08-05,21425.239,0.4492271941517198,1.557377049180328,4.352,0.006000000000000227,0,0,4,0,3,QE1
2010-01-18,GB0002404191,185.2,74.4,60.6,0.09,18.885694729637233,2028-12-07,6255.5,2009-09-15,16931.662,0.3694557569127,2.4892473118279566,4.306,0.004999999999999893,0,0,4,0,3,QE1
2010-01-18,GB00B24FF097,250.8,164.9,156,0.1,20.88432580424367,2030-12-07,7242,2009-10-02,21264.849,0.3405620232713621,1.5209217707701637,4.385,0.006000000000000227,0,0,4,0.001000000000000334,3,QE1
2010-01-18,GB0004893086,198.2,158.5,160,0.1,22.38466803559206,2032-06-07,8921.8,2009-12-17,24618.218,0.36240640975719685,1.2504731861198737,4.363,0.005999999999999339,0,0.001000000000000334,4,9.999999999994458e-4,3,QE1
2010-01-18,GB0030880693,701.1,312.6,286,0.06,15.132101300479125,2025-03-07,6956.9,2009-03-18,22099,0.3148060998235214,2.242802303262956,4.342,0.005999999999999339,0,0,4,-0.0010000000000012221,3,QE1
2010-01-18,GB00B3KJDQ49,722.6,169.4,170,0.04,12.131416837782341,2022-03-07,10812.2,2009-11-25,17887.699,0.6044489008899356,4.265643447461629,4.211,0.008000000000000007,0,-0.001000000000000334,4,-0.001000000000000334,3,QE1
2010-01-18,GB00B52WS153,415.3,176.4,171,0.09,24.635181382614647,2034-09-07,3086.9,2009-11-05,9000,0.3429888888888889,2.3543083900226756,4.415,0.004999999999999893,0,0,4,0,3,QE1
2010-01-20,GB0031829509,113.3,0,0,0,4.629705681040384,2014-09-07,12716.4,2009-10-23,28057.269,0.4532301415365836,Inf,2.88,0.01100000000000012,0,4.440892098500626e-16,2,4.440892098500626e-16,1,QE1
2010-01-20,GB0033280339,777.6,0,0,0,5.6290212183436,2015-09-07,13158.7,2009-04-02,24968,0.5270225889138097,Inf,3.168,0.010000000000000231,0,0,2,0.001000000000000334,1,QE1
2010-01-20,GB0008881541,252.6,252.6,200,0.01,5.878165639972622,2015-12-07,4295.9,2009-01-21,9997.897,0.4296803617800823,1,3.232,0.008000000000000007,0,0,2,0,1,QE1
2010-01-20,GB00B0V3WX43,340.1,0,0,0,6.631074606433949,2016-09-07,7429.5,2009-07-22,25827,0.287664072482286,Inf,3.472,0.008000000000000007,0,0,2,0,1,QE1
2010-01-20,GB0008931148,34.3,0,0,0,7.594798083504449,2017-08-25,2871.4,2009-01-21,10502,0.2734145876975814,Inf,3.644,0.005999999999999783,0,0,2,0,1,QE1
2010-01-20,GB00B1VWPC84,1772,0,0,0,8.125941136208077,2018-03-07,12320,2009-01-21,22388,0.5502948007861355,Inf,3.796,0.007000000000000117,0,0,2,0,1,QE1
2010-01-20,GB00B39R3F84,1600.2,0,0,0,9.125256673511293,2019-03-07,7652.8,2009-06-04,26302.749,0.2909505770670587,Inf,4.01,0.007000000000000561,0,-9.999999999994458e-4,2,8.881784197001252e-16,1,QE1
2010-01-20,GB00B29WRG55,965,86.8,80,0,3.1266255989048597,2013-03-07,6110.7,2009-10-07,29286.708,0.20865096889687978,11.117511520737327,2.257,0.016000000000000014,0,4.440892098500626e-16,2,4.440892098500626e-16,1,QE1
2010-01-20,GB0008921883,30.6,10.9,8.9,0,3.685147159479808,2013-09-27,1556.9,2009-01-21,8378,0.18583194079732634,2.8073394495412844,2.346,0.0129999999999999,0,0,2,0,1,QE1
2010-01-20,GB00B3KJDW09,2768.8,1039.6,1050,0.02,4.125941136208077,2014-03-07,8232,2009-09-18,29123.227,0.28266098396307526,2.6633320507887652,2.727,0.0129999999999999,0,0,2,0,1,QE1
2010-01-20,GB00B4LFZR36,1125.9,310.1,315,0.02,5.004791238877481,2015-01-22,415,2010-01-07,15060.307,0.027555879172981,3.6307642695904545,3.091,0.01100000000000012,0,0,2,4.440892098500626e-16,1,QE1
2010-01-26,GB0032452392,323.9,223.9,225,0.24,26.11088295687885,2036-03-07,2160.1,2009-01-21,20227,0.10679290057843475,1.4466279589102276,4.392,0.004999999999999893,0,-8.881784197001252e-16,2,-8.881784197001252e-16,1,QE1
2010-01-26,GB00B00NY175,326.1,199.1,186,0.23,28.862422997946613,2038-12-07,6100.3,2009-05-20,22759,0.268039017531526,1.637870416875942,4.362,0.0039999999999995595,0,-0.001000000000000334,2,-0.001000000000000334,1,QE1
2010-01-26,GB00B3KJDS62,1216.1,479.5,481,0.16,29.61259411362081,2039-09-07,3026.4,2009-12-03,11773.422,0.2570535567314244,2.536183524504692,4.375,0.0039999999999995595,0,-8.881784197001252e-16,2,-0.0010000000000012221,1,QE1
2010-01-26,GB00B1VWPJ53,233.9,208,201,0.16,32.86242299794661,2042-12-07,1516,2009-01-21,19120,0.07928870292887029,1.1245192307692309,4.339,0.004000000000000448,0,-8.881784197001252e-16,2,0,1,QE1
2010-01-26,GB00B128DP45,26,15.6,15.6,0.3,36.86242299794661,2046-12-07,2182.6,2009-01-21,17751,0.12295645315756858,1.6666666666666667,4.296,0.004000000000000448,0,0.001000000000000334,2,0,1,QE1
2010-01-26,GB00B39R3707,372,241.4,241,0.24,39.8631074606434,2049-12-07,2269,2010-01-14,16435.807,0.1380522416696667,1.5410107705053853,4.278,0.004000000000000448,0,8.881784197001252e-16,2,8.881784197001252e-16,1,QE1
2010-01-26,GB00B06YGN05,327,189.1,187,0.17,45.86173853524983,2055-12-07,4905.6,2009-02-18,20147,0.2434903459572145,1.7292437863564252,4.23,0.0030000000000001137,0,-0.001000000000000334,2,-0.001000000000000334,1,QE1
2010-01-26,GB00B54QLM75,244.1,143.4,150,0.17,49.987679671457904,2060-01-22,1549.1,2009-10-22,7000,0.2213,1.702231520223152,4.223,0.0039999999999995595,0,-8.881784197001252e-16,2,-8.881784197001252e-16,1,QE1
