"","announcement","name","maturity_sector","mean","sd","iqr","max","min"
"40","QE2b","COB_change","medium",0.0915,0.0315322963687347,0.0362499999999999,0.118,0.0379999999999998
"41","QE2b","COB_change","short",-0.0113076923076924,0.0266345158750339,0.042,0.0329999999999999,-0.0429999999999999
"42","QE2b","COB_change","untargeted_short",0.00760000000000001,0.00151657508881031,0,0.00900000000000001,0.005
"43","QE2b","t+1_change","long",0.0574444444444444,0.00174005108481849,0.00200000000000022,0.0590000000000002,0.0539999999999998
"44","QE2b","t+1_change","medium",0.02075,0.04854379466008,0.0555000000000002,0.0619999999999998,-0.0670000000000002
"45","QE2b","t+1_change","short",-0.128230769230769,0.0296483665827587,0.0399999999999999,-0.081,-0.172
"46","QE2b","t+1_change","untargeted_short",-0.0404,0.0118659175793531,0.00699999999999995,-0.033,-0.0610000000000001
"47","QE3a","COB_change","long",0.00144444444444453,0.0117803980313815,0.016,0.0209999999999999,-0.012
"48","QE3a","COB_change","medium",-0.0416250000000001,0.0152215777293757,0.0162499999999998,-0.02,-0.0649999999999999
"49","QE3a","COB_change","short",-0.0856666666666667,0.0147098930105202,0.0279999999999999,-0.0680000000000001,-0.107
"50","QE3a","COB_change","untargeted_short",-0.0586,0.0259865349748673,0.038,-0.034,-0.095
"51","QE3a","t+1_change","long",-0.0432222222222222,0.0123771743319889,0.0189999999999997,-0.024,-0.0590000000000002
"52","QE3a","t+1_change","medium",-0.0947500000000001,0.0208309522448823,0.0274999999999998,-0.0649999999999999,-0.124
"53","QE3a","t+1_change","short",-0.1446,0.0162075819999689,0.0245,-0.106,-0.167
"54","QE3a","t+1_change","untargeted_short",-0.0818,0.0427048006669039,0.057,-0.041,-0.143
"55","QE4a","COB_change","long",-0.1494375,0.0118657420051733,0.0145000000000001,-0.136,-0.173
"56","QE4a","COB_change","medium",-0.165875,0.00901486867030559,0.01325,-0.155,-0.181
"57","QE4a","COB_change","short",-0.1538,0.01304522049556,0.00524999999999998,-0.122,-0.165
"58","QE4a","COB_change","untargeted_short",-0.0708571428571429,0.0215439749615259,0.0265,-0.039,-0.103
"59","QE4a","t+1_change","long",-0.1464375,0.0101454012570557,0.0135,-0.136,-0.166
"60","QE4a","t+1_change","medium",-0.139625,0.0180391439454791,0.018,-0.113,-0.172
"61","QE4a","t+1_change","short",-0.137,0.0159721980676146,0.00175,-0.095,-0.147
"62","QE4a","t+1_change","untargeted_short",-0.0448571428571429,0.0224753833591967,0.0225,-0.013,-0.083
"63","QE5a","COB_change","long",-0.173058823529412,0.0249986764355518,0.014,-0.0920000000000001,-0.202
"64","QE5a","COB_change","medium",-0.124416666666667,0.0410508738326512,0.07625,-0.0720000000000001,-0.173
"65","QE5a","COB_change","short",-0.142,0.0138873014965883,0.0115,-0.128,-0.166
"66","QE5a","COB_change","untargeted_short",-0.2085,0.0199642537694608,0.0125,-0.168,-0.232
"67","QE5a","t+1_change","long",-0.431941176470588,0.0316237066696713,0.055,-0.399,-0.492
"68","QE5a","t+1_change","medium",-0.312666666666667,0.0615723275112409,0.1125,-0.234,-0.396
"69","QE5a","t+1_change","short",-0.27625,0.00361544306709822,0.00275000000000003,-0.273,-0.284
"70","QE5a","t+1_change","untargeted_short",-0.196625,0.0266079338329218,0.025,-0.153,-0.222
"71","QE5b","COB_change","long",0.0985789473684211,0.00791142485743581,0.0139999999999999,0.112,0.0850000000000001
"72","QE5b","COB_change","medium",0.0501428571428571,0.0205233718284494,0.0355,0.087,0.03
"73","QE5b","COB_change","short",0.0211111111111111,0.00242097317438899,0.00200000000000001,0.025,0.018
"74","QE5b","COB_change","untargeted_short",0.0136666666666667,0.00553774924194538,0.01025,0.019,0.008
"75","QE5b","t+1_change","long",0.134736842105263,0.00959074846611831,0.0165,0.149,0.119
"76","QE5b","t+1_change","medium",0.0662142857142857,0.0290124073496113,0.04525,0.119,0.037
"77","QE5b","t+1_change","short",0.0214444444444444,0.00630696264280817,0.00500000000000001,0.032,0.013
"78","QE5b","t+1_change","untargeted_short",0.0115,0.00288097205817759,0.0045,0.015,0.008
"79","QE5c","COB_change","long",0.0392105263157895,0.0039662317320155,0.00699999999999995,0.046,0.0339999999999999
"80","QE5c","COB_change","medium",0.0293571428571429,0.00223975077106438,0.00250000000000004,0.033,0.025
"81","QE5c","COB_change","short",0.023,0.00269258240356725,0.001,0.03,0.021
"82","QE5c","COB_change","untargeted_short",0.0205714285714286,0.00525538272812244,0.005,0.025,0.012
"83","QE5c","t+1_change","long",0.1,0.0091469484893415,0.0160000000000001,0.115,0.0880000000000001
"84","QE5c","t+1_change","medium",0.0716428571428571,0.0116922534700883,0.02075,0.087,0.055
"85","QE5c","t+1_change","short",0.0421111111111111,0.00564456474062537,0.00499999999999999,0.056,0.038
"86","QE5c","t+1_change","untargeted_short",0.0252857142857143,0.0193366171267045,0.02,0.038,-0.003
