date,ticker_abrv,ois_yield,ois_tenor
2021-12-06,BPSWS50_OIS,0.3718,50
2021-12-07,BPSWS1Z_OIS,0.0485,0.019178082191780823
2021-12-07,BPSWS2Z_OIS,0.0755,0.038356164383561646
2021-12-07,BPSWSA_OIS,0.1012,0.08333333333333333
2021-12-07,BPSWSB_OIS,0.12,0.16666666666666666
2021-12-07,BPSWSC_OIS,0.1775,0.25
2021-12-07,BPSWSD_OIS,0.22205,0.3333333333333333
2021-12-07,BPSWSE_OIS,0.2613,0.4166666666666667
2021-12-07,BPSWSF_OIS,0.3141,0.5
2021-12-07,BPSWSG_OIS,0.3598,0.5833333333333334
2021-12-07,BPSWSH_OIS,0.402,0.6666666666666666
2021-12-07,BPSWSI_OIS,0.448,0.75
2021-12-07,BPSWSJ_OIS,0.488,0.8333333333333334
2021-12-07,BPSWSK_OIS,0.525,0.9166666666666666
2021-12-07,BPSWS1_OIS,0.5604,1
2021-12-07,BPSWS1F_OIS,0.7146,1.5
2021-12-07,BPSWS2_OIS,0.8025,2
2021-12-07,BPSWS3_OIS,0.877,3
2021-12-07,BPSWS4_OIS,0.8808,4
2021-12-07,BPSWS5_OIS,0.857,5
2021-12-07,BPSWS6_OIS,0.824,6
2021-12-07,BPSWS7_OIS,0.791,7
2021-12-07,BPSWS8_OIS,0.7683,8
2021-12-07,BPSWS9_OIS,0.748,9
2021-12-07,BPSWS10_OIS,0.73405,10
2021-12-07,BPSWS12_OIS,0.70745,12
2021-12-07,BPSWS15_OIS,0.67275,15
2021-12-07,BPSWS20_OIS,0.62215,20
2021-12-07,BPSWS25_OIS,0.578,25
2021-12-07,BPSWS30_OIS,0.538,30
2021-12-07,BPSWS40_OIS,0.4322,40
2021-12-07,BPSWS50_OIS,0.3341,50
2021-12-08,BPSWS1Z_OIS,0.0485,0.019178082191780823
2021-12-08,BPSWS2Z_OIS,0.0735,0.038356164383561646
2021-12-08,BPSWSA_OIS,0.09095,0.08333333333333333
2021-12-08,BPSWSB_OIS,0.1124,0.16666666666666666
2021-12-08,BPSWSC_OIS,0.1665,0.25
2021-12-08,BPSWSD_OIS,0.2095,0.3333333333333333
2021-12-08,BPSWSE_OIS,0.246,0.4166666666666667
2021-12-08,BPSWSF_OIS,0.297,0.5
2021-12-08,BPSWSG_OIS,0.3431,0.5833333333333334
2021-12-08,BPSWSH_OIS,0.3848,0.6666666666666666
2021-12-08,BPSWSI_OIS,0.435,0.75
2021-12-08,BPSWSJ_OIS,0.48,0.8333333333333334
2021-12-08,BPSWSK_OIS,0.516,0.9166666666666666
2021-12-08,BPSWS1_OIS,0.551,1
2021-12-08,BPSWS1F_OIS,0.702,1.5
2021-12-08,BPSWS2_OIS,0.797,2
2021-12-08,BPSWS3_OIS,0.878,3
2021-12-08,BPSWS4_OIS,0.885,4
2021-12-08,BPSWS5_OIS,0.868,5
2021-12-08,BPSWS6_OIS,0.842,6
2021-12-08,BPSWS7_OIS,0.817,7
2021-12-08,BPSWS8_OIS,0.796,8
2021-12-08,BPSWS9_OIS,0.78,9
2021-12-08,BPSWS10_OIS,0.768,10
2021-12-08,BPSWS12_OIS,0.744,12
2021-12-08,BPSWS15_OIS,0.708,15
2021-12-08,BPSWS20_OIS,0.655,20
2021-12-08,BPSWS25_OIS,0.61,25
2021-12-08,BPSWS30_OIS,0.569,30
2021-12-08,BPSWS40_OIS,0.46,40
2021-12-08,BPSWS50_OIS,0.363,50
2021-12-09,BPSWS1Z_OIS,0.0475,0.019178082191780823
2021-12-09,BPSWS2Z_OIS,0.0745,0.038356164383561646
2021-12-09,BPSWSA_OIS,0.0897,0.08333333333333333
2021-12-09,BPSWSB_OIS,0.113,0.16666666666666666
2021-12-09,BPSWSC_OIS,0.164,0.25
2021-12-09,BPSWSD_OIS,0.2101,0.3333333333333333
2021-12-09,BPSWSE_OIS,0.241,0.4166666666666667
2021-12-09,BPSWSF_OIS,0.293,0.5
2021-12-09,BPSWSG_OIS,0.3416,0.5833333333333334
2021-12-09,BPSWSH_OIS,0.3805,0.6666666666666666
2021-12-09,BPSWSI_OIS,0.429,0.75
2021-12-09,BPSWSJ_OIS,0.47266,0.8333333333333334
2021-12-09,BPSWSK_OIS,0.5087,0.9166666666666666
2021-12-09,BPSWS1_OIS,0.545,1
2021-12-09,BPSWS1F_OIS,0.694,1.5
2021-12-09,BPSWS2_OIS,0.78496,2
2021-12-09,BPSWS3_OIS,0.8604,3
2021-12-09,BPSWS4_OIS,0.8643,4
2021-12-09,BPSWS5_OIS,0.8442,5
2021-12-09,BPSWS6_OIS,0.819,6
2021-12-09,BPSWS7_OIS,0.7968,7
2021-12-09,BPSWS8_OIS,0.778,8
2021-12-09,BPSWS9_OIS,0.7625,9
2021-12-09,BPSWS10_OIS,0.748,10
2021-12-09,BPSWS12_OIS,0.725,12
2021-12-09,BPSWS15_OIS,0.691,15
2021-12-09,BPSWS20_OIS,0.6465,20
2021-12-09,BPSWS25_OIS,0.607,25
2021-12-09,BPSWS30_OIS,0.566,30
2021-12-09,BPSWS40_OIS,0.4565,40
2021-12-09,BPSWS50_OIS,0.359,50
2021-12-10,BPSWS1Z_OIS,0.0534,0.019178082191780823
2021-12-10,BPSWS2Z_OIS,0.0787,0.038356164383561646
2021-12-10,BPSWSA_OIS,0.09065,0.08333333333333333
2021-12-10,BPSWSB_OIS,0.1171,0.16666666666666666
2021-12-10,BPSWSC_OIS,0.1636,0.25
2021-12-10,BPSWSD_OIS,0.2106,0.3333333333333333
2021-12-10,BPSWSE_OIS,0.2447,0.4166666666666667
2021-12-10,BPSWSF_OIS,0.295,0.5
2021-12-10,BPSWSG_OIS,0.3411,0.5833333333333334
2021-12-10,BPSWSH_OIS,0.3816,0.6666666666666666
2021-12-10,BPSWSI_OIS,0.433,0.75
2021-12-10,BPSWSJ_OIS,0.471,0.8333333333333334
2021-12-10,BPSWSK_OIS,0.5076,0.9166666666666666
2021-12-10,BPSWS1_OIS,0.546,1
2021-12-10,BPSWS1F_OIS,0.6888,1.5
2021-12-10,BPSWS2_OIS,0.7744,2
2021-12-10,BPSWS3_OIS,0.838,3
2021-12-10,BPSWS4_OIS,0.839,4
2021-12-10,BPSWS5_OIS,0.818,5
2021-12-10,BPSWS6_OIS,0.793,6
2021-12-10,BPSWS7_OIS,0.77,7
2021-12-10,BPSWS8_OIS,0.751,8
2021-12-10,BPSWS9_OIS,0.736,9
2021-12-10,BPSWS10_OIS,0.727,10
2021-12-10,BPSWS12_OIS,0.705,12
2021-12-10,BPSWS15_OIS,0.67,15
2021-12-10,BPSWS20_OIS,0.621,20
2021-12-10,BPSWS25_OIS,0.579,25
2021-12-10,BPSWS30_OIS,0.541,30
2021-12-10,BPSWS40_OIS,0.436,40
2021-12-10,BPSWS50_OIS,0.3385,50
2021-12-13,BPSWS1Z_OIS,0.0765,0.019178082191780823
2021-12-13,BPSWS2Z_OIS,0.0885,0.038356164383561646
2021-12-13,BPSWSA_OIS,0.0903,0.08333333333333333
2021-12-13,BPSWSB_OIS,0.123,0.16666666666666666
2021-12-13,BPSWSC_OIS,0.168,0.25
2021-12-13,BPSWSD_OIS,0.2089,0.3333333333333333
2021-12-13,BPSWSE_OIS,0.2441,0.4166666666666667
2021-12-13,BPSWSF_OIS,0.2936,0.5
2021-12-13,BPSWSG_OIS,0.3374,0.5833333333333334
2021-12-13,BPSWSH_OIS,0.3836,0.6666666666666666
2021-12-13,BPSWSI_OIS,0.4283,0.75
2021-12-13,BPSWSJ_OIS,0.469,0.8333333333333334
2021-12-13,BPSWSK_OIS,0.508,0.9166666666666666
2021-12-13,BPSWS1_OIS,0.54,1
2021-12-13,BPSWS1F_OIS,0.6847,1.5
2021-12-13,BPSWS2_OIS,0.7666,2
2021-12-13,BPSWS3_OIS,0.825,3
2021-12-13,BPSWS4_OIS,0.8122,4
2021-12-13,BPSWS5_OIS,0.7781,5
2021-12-13,BPSWS6_OIS,0.751,6
2021-12-13,BPSWS7_OIS,0.728,7
2021-12-13,BPSWS8_OIS,0.711,8
2021-12-13,BPSWS9_OIS,0.698,9
2021-12-13,BPSWS10_OIS,0.6886,10
2021-12-13,BPSWS12_OIS,0.668,12
2021-12-13,BPSWS15_OIS,0.6356,15
2021-12-13,BPSWS20_OIS,0.591,20
2021-12-13,BPSWS25_OIS,0.552,25
